영화코드,영화명,누적관객수
20190111~20190113
20184105,말모이,1185368
20176251,내안의 그놈,765383
20189463,주먹왕 랄프 2: 인터넷 속으로,1342315
20183915,극장판 공룡메카드: 타이니소어의 섬,289873
20180290,아쿠아맨,4920735
20185485,보헤미안 랩소디,9785643
20184574,그린 북,99569
20186281,범블비,1553491
20170658,PMC: 더 벙커,1665204
20187427,명탐정 코난 : 제로의 집행인,414506

20190104~20190106
20189463,주먹왕 랄프 2: 인터넷 속으로,758353
20180290,아쿠아맨,4544386
20185485,보헤미안 랩소디,9610394
20170658,PMC: 더 벙커,1607679
20186281,범블비,1490100
20184105,말모이,152181
20184187,언니,172340
20175547,스윙키즈,1428006
20183785,점박이 한반도의 공룡2 : 새로운 낙원,521053
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,341069

